PACE_NUMBER,PACE_NAME,STATUS,PROGRAM,SUB_PROGRAM,FORECAST_YEAR,SOURCE_JOB_NUMBER,RAN_REGION,MARKET,SUBMARKET,LATITUDE,LONGITUDE,PRODUCT_GROUP,PRODUCT_SUBGROUP,NATIONAL_PROGRAM,USID,FA_LOCATION_CODE,CURRENT_NEED_BY_DATE,ONAIR_PLAN,ONAIR_FORECAST,ONAIR_ACTUAL,ROW_NUM
MRSTX044597,SAMSUNG SEMICONDUCTOR LAB DAS MOD,Active,IB ALL,IB-DAS Modification,2020,CR_-RSTX-18-08445,CENTRAL,SOUTH TEXAS,AUSTIN,30.377174,-97.640733,DAS Modification,Other MOD,IB-DAS Modification,185098,14341478,12-31-2018,null,09-15-2020,null,314
MRUMW024362,WELLS FARGO MINNESOTA (FSM4 Swap) - DAS MOD,Active,IB ALL,IB-DAS Modification,2020,CR_-RUMW-18-02465,CENTRAL,NORTHERN PLAINS,MINNESOTA,44.97647,-93.260595,DAS Modification,ALU to Nokia FSM4 Swap,IB-DAS Modification,191350,14364198,12-31-2018,null,01-31-2020,null,349
MRUMW022138,JOHN DEERE & CO HQ NH ISE NSB,Active,IB ALL,IB-New Site,2020,CR_-RUMW-17-05563,CENTRAL,NORTHERN PLAINS,IOWA,41.476831,-90.424373,New Site,ISE,IB-New Site,191581,14371627,12-31-2018,null,01-31-2020,null,334
MRSTX035226,POTRANCO ROAD COR STORE (Ericsson HET-NET) - AT&T COR Store-FA Activation Only,Active,IB ALL,IB-New Site,2020,CR_-RSTX-17-10858,CENTRAL,SOUTH TEXAS,SAN ANTONIO,null,null,New Site,iDAS,IB-New Site,null,14371628,12-31-2019,null,06-23-2020,null,279
MRUMW022253,UNIVERSITY OF MINNESOTA - NORTHRUP AUDITORIUM (2018 Super Bowl),Active,IB ALL,IB-New Site,2020,CR_-RUMW-17-05633,CENTRAL,NORTHERN PLAINS,MINNESOTA,44.9776667,-93.2669694,New Site,iDAS,IB-New Site,191580,14372638,12-31-2018,null,01-31-2020,null,337
MRUMW023599,University of Minnesota - Northrup Auditorium (Verizon Temp Solution 2018 Super Bowl),Active,IB ALL,IB-Neutral Host Tenant Add,2020,CR_-RUMW-18-00471,CENTRAL,NORTHERN PLAINS,MINNESOTA,44.9776667,-93.2669694,Neutral Host Tenant Add,iDAS,IB-Neutral Host Tenant Add,191580,14372638,02-28-2018,null,01-31-2020,null,340
MRUMW022482,SULLIVAN LAKE MEDTRONIC ISE SPIDERCLOUD SMALL CELL,Active,IB ALL,IB-Small Cell,2020,CR_-RUMW-17-05869,CENTRAL,NORTHERN PLAINS,MINNESOTA,null,null,Small Cell,Indoor MultiStandard (UC2),IB-Small Cell,null,14435267,12-31-2018,null,01-31-2020,null,336
MRNTX036881,Globe Life Field (Rangers New Stadium),Active,IB ALL,IB-New Site,2020,CR_-RNTX-17-14290,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,null,null,New Site,iDAS,IB-New Site,null,14462935,06-28-2019,null,06-30-2020,null,197
MROAR022867,Saint Francis Hospital Tulsa (VZ DAS),Active,IB ALL,IB-New Site,2020,CR_-ROAR-17-66392,CENTRAL,ARKANSAS/OKLAHOMA,TULSA OK,36.0736,-95.9185,New Site,iDAS,IB-New Site,203479,14462936,12-31-2020,null,03-29-2020,null,247
MRKSL024439,Oak Park Mall (Overland Park KS),Active,IB ALL,IB-New Site,2020,CR_-RKSL-17-05672,CENTRAL,GREATER MIDWEST,KANSAS CITY,38.953623,-94.719284,New Site,iDAS,IB-New Site,208264,14462937,06-30-2020,null,08-29-2020,null,146
MRSTX036659,The Westin Austin at The Domain,Active,IB ALL,IB-New Site,2020,CR_-RSTX-17-11633,CENTRAL,SOUTH TEXAS,AUSTIN,null,null,New Site,iDAS,IB-New Site,null,14462938,06-30-2020,null,06-27-2020,null,286
MRNTX036954,El Paso Coliseum,Active,IB ALL,IB-New Site,2020,CR_-RNTX-17-14293,CENTRAL,NORTH TEXAS,EL PASO,null,null,New Site,iDAS,IB-New Site,null,14462939,07-31-2020,null,06-30-2020,null,198
MRUMW023335,US Bank Plaza,Active,IB ALL,IB-New Site,2020,CR_-RUMW-17-05848,CENTRAL,NORTHERN PLAINS,MINNESOTA,null,null,New Site,iDAS,IB-New Site,null,14462940,12-31-2020,null,01-31-2020,null,341
MROAR022728,Tulsa International Airport,Active,IB ALL,IB-New Site,2020,CR_-ROAR-17-66394,CENTRAL,ARKANSAS/OKLAHOMA,TULSA OK,null,null,New Site,iDAS,IB-New Site,null,14462941,12-31-2020,null,04-15-2020,null,248
MROAR022866,Goodyear Tire Rubber Lawton,Active,IB ALL,IB-New Site,2020,CR_-ROAR-17-66398,CENTRAL,ARKANSAS/OKLAHOMA,OKLAHOMA CITY,34.597445,-98.514775,New Site,iDAS,IB-New Site,203477,14462943,12-31-2020,null,05-31-2020,null,246
MRSTX036654,The Shops at La Cantera,Active,IB ALL,IB-New Site,2020,CR_-RSTX-17-11635,CENTRAL,SOUTH TEXAS,SAN ANTONIO,null,null,New Site,iDAS,IB-New Site,null,14462944,06-30-2020,null,07-01-2020,null,284
MRSTX036658,San Antonio International Airport (SAT),Active,IB ALL,IB-New Site,2020,CR_-RSTX-17-11634,CENTRAL,SOUTH TEXAS,SAN ANTONIO,null,null,New Site,iDAS,IB-New Site,null,14462945,12-31-2019,null,08-10-2020,null,285
MRCHI032375,One South Wacker (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-17-09430,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,null,null,New Site,iDAS,IB-New Site,null,14465898,12-31-2019,null,12-31-2020,null,18
MRCHI032381,10 South Riverside Plaza,Active,IB ALL,IB-New Site,2020,CR_-RCHI-17-09432,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,null,null,New Site,iDAS,IB-New Site,null,14465899,05-29-2020,null,12-31-2020,null,19
MRCHI032383,NICTD-Millennium Station at Randolph,Active,IB ALL,IB-New Site,2020,CR_-RCHI-17-11380,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,null,null,New Site,iDAS,IB-New Site,null,14465900,12-31-2020,null,12-31-2020,null,20
MRCHI034282,Oakbrook Center Mall (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00317,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,null,null,New Site,iDAS,IB-New Site,null,14465944,12-31-2019,null,12-31-2020,null,52
MRNTX036930,Dickies Arena,Active,IB ALL,IB-New Site,2020,CR_-RNTX-17-14291,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,null,null,New Site,iDAS,IB-New Site,null,14466201,06-30-2020,null,06-30-2020,null,199
MRIND029844,HENRY FORD HEALTH SYSTEM CANCER CENTER ISE NSB,Active,IB ALL,IB-New Site,2020,NER-RIND-18-00007,CENTRAL,MICHIGAN/INDIANA,DETROIT,null,null,New Site,ISE,IB-New Site,null,14474867,12-31-2019,null,06-01-2020,null,94
